host_name,ip,cpu,memory,disk,network,processes,connections,attack_type,status,threats,action,offline
DESKTOP-7HIR3KC,192.168.8.146,60.3,88.3,97.0,0.28,333,99,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,79.8,88.5,97.0,0.22,333,100,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,89.7,88.1,97.0,0.4,333,101,Unknown,Safe,Unknown,BLOCKED,False
DESKTOP-7HIR3KC,192.168.8.146,81.4,89.3,97.0,10.98,335,100,Unknown,Safe,Unknown,BLOCKED,False
DESKTOP-7HIR3KC,192.168.8.146,20.9,88.0,97.0,0.12,327,99,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,33.2,88.4,97.0,0.74,327,100,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,46.0,88.5,97.0,0.29,327,100,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,30.0,88.6,97.0,28.36,327,100,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,46.2,88.6,97.0,22.0,326,100,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,51.1,88.8,97.0,11.47,326,100,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,55.0,88.9,97.0,23.39,326,101,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,27.3,89.1,97.0,31.51,326,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,44.7,89.1,97.0,0.47,326,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,48.4,88.9,97.0,0.22,326,103,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,32.3,88.3,97.0,9.7,326,103,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,30.0,88.3,97.0,8.59,326,103,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,53.7,88.6,97.0,16.49,326,104,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,45.5,88.6,97.0,0.42,326,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,39.5,89.3,97.0,35.39,326,103,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,51.6,89.3,97.0,28.16,326,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,38.5,89.3,97.0,20.17,326,103,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,54.0,89.2,97.0,28.28,326,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,40.9,88.9,97.0,18.01,326,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,52.5,89.0,97.0,28.2,326,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,63.2,88.9,97.0,26.22,325,103,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,59.5,88.9,97.0,1.8,325,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,52.1,88.9,97.0,27.68,325,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,63.1,89.0,97.0,0.28,325,103,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,39.1,89.0,97.0,28.57,325,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,27.1,89.0,97.0,0.06,325,105,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,36.5,89.2,97.0,29.53,325,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,42.1,89.3,97.0,0.37,325,103,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,10.0,85.4,97.0,683.1,324,92,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,21.8,85.7,97.0,10.9,324,93,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,7.5,85.8,97.0,0.21,324,94,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,12.3,85.7,97.0,11.0,324,95,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,8.1,85.8,97.0,0.46,324,95,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,17.7,86.0,97.0,15.17,324,97,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,3.1,86.3,97.0,10.69,324,98,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,9.5,86.5,97.0,11.15,324,99,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,5.8,85.7,97.0,0.4,324,100,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,13.8,85.6,97.0,12.84,324,100,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,6.6,85.6,97.0,11.08,324,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,15.1,87.1,97.0,11.09,324,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,5.4,87.4,97.0,10.21,324,101,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,35.5,87.5,97.0,1.61,324,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,26.6,87.5,97.0,10.03,324,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,29.2,87.5,97.0,3.22,323,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,30.7,87.5,97.0,27.47,323,104,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,57.9,87.4,97.0,0.37,323,104,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,70.4,87.5,97.0,186.74,323,104,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,34.8,86.7,97.0,55.33,323,104,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,17.3,86.7,97.0,6.32,323,105,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,51.7,87.1,97.0,24.34,323,104,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,19.0,87.4,97.0,15.8,323,105,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,57.9,87.9,97.0,7.28,323,101,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,73.6,91.6,97.0,69.11,323,95,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,46.4,92.1,97.0,36.76,324,95,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,32.3,92.0,97.0,74.42,324,95,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,26.9,91.9,97.0,0.07,324,94,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,75.0,92.0,97.0,12.0,324,93,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,14.5,87.2,97.0,0.0,324,94,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,20.4,87.2,97.0,23.1,324,95,Unknown,Safe,Unknown,SAFE,False
